"","ownership_category","ownershipType","locationid","locationodscode","registrationdate","providerid","locationname","providername","providercompanieshousenumber","providercharitynumber"
"46","Independent","Partnership","1-10488998550","J81044","2021-03-31","1-10405309293","Heatherview Medical Centre","Shore Medical","",""
"47","Independent","Partnership","1-10488998796","J81054","2021-03-31","1-10405309293","Lilliput Surgery","Shore Medical","",""
"48","Independent","Partnership","1-10489517840","J81012","2021-03-31","1-10405309293","Shore Medical","Shore Medical","",""
"49","Independent","Partnership","1-10489517914","J81004","2021-03-31","1-10405309293","Poole Road Medical Centre","Shore Medical","",""
"50","Independent","Partnership","1-10489517997","J81048","2021-03-31","1-10405309293","Wessex Road Surgery","Shore Medical","",""
"51","Independent","Partnership","1-10496618884","M88008","2021-03-10","1-10194240447","Stone Cross Medical Centre","Stone Cross Medical Centre","",""
"52","Independent","Partnership","1-10511848857","M88010","2021-03-10","1-10194290558","Swanpool Medical Centre","Swanpool Medical Centre","",""
"53","Independent","Partnership","1-10511851491","J82067","2021-03-10","1-199749862","Voyager Family Health","Voyager Family Health","",""
"54","Independent","Partnership","1-10513855189","C84142","2021-04-21","1-9691833405","Selston Surgery","Dr S R Bassi and Dr S Shah","",""
"55","Corporation","Organisation","1-1051403692","Y03661","2014-03-06","1-325698686","Lyme Regis Medical Centre","VH Doctors Limited","07087850",""
"56","Independent","Partnership","1-10516643075","M88630","2021-03-10","1-10193854577","Clifton Medical Centre","Clifton Medical Centre","",""
"57","Corporation","Organisation","1-10529993173","E82132","2021-03-12","1-6092785461","MKGP Roysia Surgery","MKGP Plus Limited","10747880",""
"58","Independent","Partnership","1-10530691261","E82641","2021-03-12","1-199719956","Manor House Surgery","King George Surgery","",""
"59","Independent","Individual","1-10570161325","F81737","2021-04-27","1-9752793865","The Highwood Surgery","Dr Arindam Kumar","",""
"60","Independent","Partnership","1-1058859079","C83628","2013-12-05","1-199706360","Woolsthorpe Surgery","Long Clawson Medical Practice","",""
"61","Independent","Individual","1-10593719397","C84031","2021-03-25","1-9959328119","St Peter's Medical Practice","Dr Hamid Masud","",""
