company_number,company_name,company_type,company_subtype,company_status,date_of_creation,date_of_cessation,sic_codes,is_community_interest_company,has_insolvency_history,governed_by,business_activity,branch_parent_company_name,branch_parent_company_number,registered_office_address,address_premises,address_line_1,address_line_2,address_locality,address_region,address_postal_code,address_country,insolvency_case_count,most_recent_case_type,most_recent_case_number,case_date_1_type,case_date_1_value,case_date_2_type,case_date_2_value,case_date_3_type,case_date_3_value,case_date_4_type,case_date_4_value,case_date_5_type,case_date_5_value,practitioners_count,practitioner_1_name,practitioner_1_role,practitioner_1_appointed_on,practitioner_1_ceased_to_act_on,practitioner_1_address,practitioner_2_name,practitioner_2_role,practitioner_2_appointed_on,practitioner_2_ceased_to_act_on,practitioner_2_address,practitioner_3_name,practitioner_3_role,practitioner_3_appointed_on,practitioner_3_ceased_to_act_on,practitioner_3_address,case_notes,all_case_types,earliest_insolvency_date,latest_insolvency_date
OC337207,VIRGIN CARE LEEDS LLP,llp,,dissolved,2008-05-12,2020-12-29,,False,False,,,,,"The Heath Business And Technical Park, Runcorn, Cheshire, WA7 4QX, United Kingdom",,The Heath Business And Technical Park,,Runcorn,Cheshire,WA7 4QX,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06358137,DEVON HEALTH LIMITED,ltd,,dissolved,2007-08-31,2023-05-21,86210,False,True,,,,,"BISHOP FLEMING LLP, 2nd Floor  Stratus House Emperor Way, Exeter, Devon, EX1 3QS",,BISHOP FLEMING LLP,2nd Floor  Stratus House Emperor Way,Exeter,Devon,EX1 3QS,,1,members-voluntary-liquidation,1,wound-up-on,2022-04-13,dissolved-on,2023-05-21,,,,,,,2,Malcolm Rhodes,practitioner,2022-04-13,,"2nd Floor Stratus House Emperor Way, Exeter Business Park, Exeter, Devon, EX1 3QS",Luke Venner,practitioner,2022-04-13,,"2nd Floor Stratus House Emperor Way, Exeter Business Park, Exeter, Devon, EX1 3QS",,,,,,,members-voluntary-liquidation,2022-04-13,2023-05-21
OC337209,VIRGIN CARE CHELMSFORD LLP,llp,,dissolved,2008-05-12,2020-12-29,,False,False,,,,,"The Heath Business And Technical Park, Runcorn, Cheshire, WA7 4QX, United Kingdom",,The Heath Business And Technical Park,,Runcorn,Cheshire,WA7 4QX,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07446398,OLIVE FAMILY PRACTICE LIMITED,ltd,,active,2010-11-22,,86210,False,False,,,,,"Carlyle House, 78 Chorley New Road, Bolton, Lancashire, BL1 4BY",,Carlyle House,78 Chorley New Road,Bolton,Lancashire,BL1 4BY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11055725,HEDENA HEALTH LIMITED,ltd,,active,2017-11-09,,86210,False,False,,,,,"207 London Road, Headington, Oxford, OX3 9JA, United Kingdom",,207 London Road,Headington,Oxford,,OX3 9JA,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11554806,PIER HEALTH GROUP LIMITED,ltd,,active,2018-09-05,,86900,False,False,,,,,"17-18 Leach Road Chard Business Park, Chard, Somerset, TA20 1FA, United Kingdom",,17-18 Leach Road Chard Business Park,,Chard,Somerset,TA20 1FA,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09907276,BOLTON GP PARTNERSHIP LIMITED,ltd,,active,2015-12-08,,86210,False,False,,,,,"Bolton Primary Care Hub, Chorley Street, Bolton, BL1 4AL, England",,Bolton Primary Care Hub,Chorley Street,Bolton,,BL1 4AL,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09114753,LEA VALLEY HEALTH LIMITED,ltd,,active,2014-07-03,,86210,False,False,,,,,"Ramsay House, 18 Vera Avenue, London, N21 1RA, England",,Ramsay House,18 Vera Avenue,London,,N21 1RA,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11172424,NORTH CUMBRIA PRIMARY CARE LIMITED,ltd,,active,2018-01-26,,86210,False,False,,,,,"Morton Surgery, Langrigg Road, Carlisle, CA2 6DT, United Kingdom",,Morton Surgery,Langrigg Road,Carlisle,,CA2 6DT,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04149500,CHILVERS & MCCREA LIMITED,ltd,,active,2001-01-29,,86210,False,False,,,,,"Prospect House, 108 High Street, Great Missenden, HP16 0BG, England",,Prospect House,108 High Street,Great Missenden,,HP16 0BG,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
